email_text,language,label
Hongera! Umeshinda zawadi kutoka Apple. Lipia hapa: g00gle-security.tk,sw,1
Your order from Amazon has been shipped and will arrive soon.,en,0
感谢您联系 Apple 支持团队。,zh,0
在您的 PayPal 账户上检测到可疑活动。确认身份：tinyurl.com/confirm,zh,1
Спасибо за обращение в службу поддержки Microsoft.,ru,0
"Dear valued customer, please confirm your Amazon login credentials: short.link/secure",en,1
Neno lako la PayPal limepoteza muda wake. Sasisha sasa: tinyurl.com/confirm,sw,1
WARNING: Your Google account will be suspended unless you verify: tinyurl.com/confirm,en,1
Hongera! Umeshinda zawadi kutoka Apple. Lipia hapa: am@z0n-verify.ru,sw,1
Добро пожаловать в Netflix! Спасибо за регистрацию.,ru,0
Haraka: Thibitisha akaunti yako ya Microsoft. Bofya hapa: short.link/secure,sw,1
Hongera! Umeshinda zawadi kutoka Google. Lipia hapa: am@z0n-verify.ru,sw,1
Мы ценим вашу деятельность с Netflix. См. квитанцию ниже.,ru,0
紧急：验证您的 Apple 账户。点击此处：short.link/secure,zh,1
"Habari, hii ni invoice yako ya kila mwezi kutoka Apple kwa May.",sw,0
Обнаружена подозрительная активность на вашем аккаунте Bank: g00gle-security.tk,ru,1
您的 Google 密码已过期。立即更新：goo.gl/check,zh,1
"Здравствуйте, вот ваш счет от Microsoft за April.",ru,0
Neno lako la Google limepoteza muda wake. Sasisha sasa: short.link/secure,sw,1
恭喜！您从 Google 赢得了奖励。立即领取：am@z0n-verify.ru,zh,1
Your Google password has expired. Update it now: short.link/secure,en,1
"Dear valued customer, please confirm your Amazon login credentials: goo.gl/check",en,1
需要操作：为您的 Bank 账户更新付款方式：am@z0n-verify.ru,zh,1
Suspicious activity detected on your Bank account. Confirm identity: goo.gl/check,en,1
"Hello, here is your Netflix monthly invoice for May.",en,0
ПРЕДУПРЕЖДЕНИЕ: Ваш аккаунт Microsoft будет заблокирован: payp@l-confirm.tk,ru,1
Haraka: Thibitisha akaunti yako ya Microsoft. Bofya hapa: short.link/secure,sw,1
Congratulations! You've won a reward from Amazon. Claim it: goo.gl/check,en,1
恭喜！您从 Microsoft 赢得了奖励。立即领取：payp@l-confirm.tk,zh,1
Welcome to Netflix! Thank you for signing up with us.,en,0
在您的 Amazon 账户上检测到可疑活动。确认身份：bit.ly/verify2024,zh,1
你好，这是您从 Microsoft 的 February 月度发票。,zh,0
我们感谢您与 Netflix 的业务。请查看下方收据。,zh,0
Ваш аккаунт Netflix взломан. Переустановите пароль: am@z0n-verify.ru,ru,1
WARNING: Your Microsoft account will be suspended unless you verify: g00gle-security.tk,en,1
尊敬的客户，请确认您的 Microsoft 登录凭据：am@z0n-verify.ru,zh,1
WARNING: Your Amazon account will be suspended unless you verify: bit.ly/verify2024,en,1
Usajili wako wa Google umeboreshwa kwa mafanikio.,sw,0
需要操作：为您的 PayPal 账户更新付款方式：short.link/secure,zh,1
感谢您联系 Apple 支持团队。,zh,0
Tafadhali thibitisha akaunti yako ya Apple: tinyurl.com/confirm,sw,1
Shughuli isiyo ya kawaida imegundulika kwenye akaunti yako ya Amazon: tinyurl.com/confirm,sw,1
你好，这是您从 Google 的 April 月度发票。,zh,0
Your Amazon account has been compromised. Reset password here: short.link/secure,en,1
紧急：验证您的 Netflix 账户。点击此处：payp@l-confirm.tk,zh,1
Neno lako la Microsoft limepoteza muda wake. Sasisha sasa: g00gle-security.tk,sw,1
这是您的 PayPal January 月账单信息。,zh,0
Your Bank password has expired. Update it now: goo.gl/check,en,1
ONYO: Akaunti yako ya Microsoft itasimama isipokuwa uthibitishe: bit.ly/verify2024,sw,1
Your Netflix password has expired. Update it now: am@z0n-verify.ru,en,1
Shughuli isiyo ya kawaida imegundulika kwenye akaunti yako ya PayPal: goo.gl/check,sw,1
恭喜！您从 Bank 赢得了奖励。立即领取：payp@l-confirm.tk,zh,1
Вот ваша информация об абонентской плате PayPal за January.,ru,0
我们感谢您与 Microsoft 的业务。请查看下方收据。,zh,0
Поздравляем! Вы выиграли приз от Netflix. Получите: am@z0n-verify.ru,ru,1
ONYO: Akaunti yako ya Netflix itasimama isipokuwa uthibitishe: tinyurl.com/confirm,sw,1
Tunakubaliana na biashara yako na Google. Angalia kuitisha chini.,sw,0
Hii ni taarifa ya kukodi kwa Bank kwa June.,sw,0
您的 Apple 账户已被入侵。在此重置密码：tinyurl.com/confirm,zh,1
Here is your Microsoft billing information for April.,en,0
Срочно: Подтвердите свой аккаунт Apple. Кликните здесь: short.link/secure,ru,1
Tunakubaliana na biashara yako na Netflix. Angalia kuitisha chini.,sw,0
Ваш аккаунт Apple взломан. Переустановите пароль: am@z0n-verify.ru,ru,1
Congratulations! You've won a reward from Apple. Claim it: goo.gl/check,en,1
Action required: Update payment method for your Netflix account: g00gle-security.tk,en,1
Ваш пароль Bank истек. Обновите сейчас: g00gle-security.tk,ru,1
您的 Microsoft 订阅已成功续订。,zh,0
Haraka: Thibitisha akaunti yako ya Bank. Bofya hapa: g00gle-security.tk,sw,1
Вот ваша информация об абонентской плате Apple за January.,ru,0
Haraka: Thibitisha akaunti yako ya Apple. Bofya hapa: am@z0n-verify.ru,sw,1
我们感谢您与 PayPal 的业务。请查看下方收据。,zh,0
您的 Microsoft 订阅已成功续订。,zh,0
您的 Amazon 密码已过期。立即更新：goo.gl/check,zh,1
"Здравствуйте, вот ваш счет от Microsoft за January.",ru,0
Welcome to PayPal! Thank you for signing up with us.,en,0
"Здравствуйте, вот ваш счет от Apple за June.",ru,0
警告：除非您验证，否则您的 Google 账户将被暂停：payp@l-confirm.tk,zh,1
"Пожалуйста, подтвердите ваши учетные данные Bank: tinyurl.com/confirm",ru,1
Вот ваша информация об абонентской плате Microsoft за January.,ru,0
ПРЕДУПРЕЖДЕНИЕ: Ваш аккаунт Bank будет заблокирован: bit.ly/verify2024,ru,1
Your Netflix account has been compromised. Reset password here: goo.gl/check,en,1
Karibu Netflix! Asante kwa kusajili.,sw,0
"Hello, here is your Apple monthly invoice for March.",en,0
Ваш заказ от Apple отправлен и скоро будет доставлен.,ru,0
您的 Microsoft 账户已被入侵。在此重置密码：payp@l-confirm.tk,zh,1
Haraka: Thibitisha akaunti yako ya Bank. Bofya hapa: am@z0n-verify.ru,sw,1
Спасибо за использование Amazon. Вот ваши реквизиты учетной записи.,ru,0
Tunakubaliana na biashara yako na Bank. Angalia kuitisha chini.,sw,0
这是您的 Google May 月账单信息。,zh,0
Hongera! Umeshinda zawadi kutoka Netflix. Lipia hapa: goo.gl/check,sw,1
Welcome to Netflix! Thank you for signing up with us.,en,0
您的 Microsoft 密码已过期。立即更新：am@z0n-verify.ru,zh,1
需要操作：为您的 Bank 账户更新付款方式：bit.ly/verify2024,zh,1
Asante kwa kutumia Bank. Hapa kuna maelezo ya akaunti yako.,sw,0
"Пожалуйста, подтвердите ваши учетные данные Netflix: tinyurl.com/confirm",ru,1
Ваш аккаунт Netflix взломан. Переустановите пароль: g00gle-security.tk,ru,1
您的 Bank 密码已过期。立即更新：payp@l-confirm.tk,zh,1
Поздравляем! Вы выиграли приз от Netflix. Получите: goo.gl/check,ru,1
Akaunti yako ya Google imehacked. Sasisha neno lako: goo.gl/check,sw,1
Вот ваша информация об абонентской плате Google за June.,ru,0
恭喜！您从 Google 赢得了奖励。立即领取：am@z0n-verify.ru,zh,1
Urgent: Verify your Bank account immediately. Click here: payp@l-confirm.tk,en,1
Congratulations! You've won a reward from Amazon. Claim it: payp@l-confirm.tk,en,1
Your order from Google has been shipped and will arrive soon.,en,0
Action required: Update payment method for your Amazon account: short.link/secure,en,1
"Dear valued customer, please confirm your Bank login credentials: short.link/secure",en,1
Your PayPal account has been compromised. Reset password here: g00gle-security.tk,en,1
We appreciate your business with Microsoft. See your receipt below.,en,0
我们感谢您与 Netflix 的业务。请查看下方收据。,zh,0
Tafadhali thibitisha akaunti yako ya Google: payp@l-confirm.tk,sw,1
Спасибо за обращение в службу поддержки Microsoft.,ru,0
Добро пожаловать в PayPal! Спасибо за регистрацию.,ru,0
Ваш аккаунт Apple взломан. Переустановите пароль: goo.gl/check,ru,1
Your Bank subscription has been renewed successfully.,en,0
"Пожалуйста, подтвердите ваши учетные данные Amazon: bit.ly/verify2024",ru,1
Tafadhali thibitisha akaunti yako ya Apple: payp@l-confirm.tk,sw,1
您的 PayPal 订阅已成功续订。,zh,0
Thank you for using Google. Here are your account details.,en,0
Ваша подписка на Microsoft успешно продлена.,ru,0
Hii ni taarifa ya kukodi kwa Bank kwa April.,sw,0
Вот ваша информация об абонентской плате Netflix за March.,ru,0
Amri yako kutoka Bank imetumwa na itafika karibuni.,sw,0
Tafadhali thibitisha akaunti yako ya Netflix: am@z0n-verify.ru,sw,1
欢迎来到 Amazon！感谢您的注册。,zh,0
Suspicious activity detected on your Microsoft account. Confirm identity: g00gle-security.tk,en,1
Спасибо за использование Microsoft. Вот ваши реквизиты учетной записи.,ru,0
恭喜！您从 Amazon 赢得了奖励。立即领取：am@z0n-verify.ru,zh,1
Срочно: Обновите способ оплаты для Netflix: goo.gl/check,ru,1
感谢您联系 Amazon 支持团队。,zh,0
感谢您使用 Microsoft。以下是您的账户详情。,zh,0
Срочно: Обновите способ оплаты для Google: payp@l-confirm.tk,ru,1
您的 Apple 订阅已成功续订。,zh,0
Akaunti yako ya PayPal imehacked. Sasisha neno lako: g00gle-security.tk,sw,1
您的 PayPal 订阅已成功续订。,zh,0
Neno lako la Netflix limepoteza muda wake. Sasisha sasa: tinyurl.com/confirm,sw,1
Hongera! Umeshinda zawadi kutoka Google. Lipia hapa: goo.gl/check,sw,1
Neno lako la Google limepoteza muda wake. Sasisha sasa: bit.ly/verify2024,sw,1
Amri yako kutoka Microsoft imetumwa na itafika karibuni.,sw,0
Your Microsoft account has been compromised. Reset password here: g00gle-security.tk,en,1
"Здравствуйте, вот ваш счет от Amazon за March.",ru,0
Asante kwa kutumia Amazon. Hapa kuna maelezo ya akaunti yako.,sw,0
ONYO: Akaunti yako ya Microsoft itasimama isipokuwa uthibitishe: payp@l-confirm.tk,sw,1
ONYO: Akaunti yako ya Netflix itasimama isipokuwa uthibitishe: payp@l-confirm.tk,sw,1
Haraka: Sasisha njia ya malipo kwa akaunti yako ya PayPal: g00gle-security.tk,sw,1
"Пожалуйста, подтвердите ваши учетные данные Microsoft: short.link/secure",ru,1
感谢您联系 PayPal 支持团队。,zh,0
Asante kwa kutumia Apple. Hapa kuna maelezo ya akaunti yako.,sw,0
你好，这是您从 Netflix 的 June 月度发票。,zh,0
Amri yako kutoka Bank imetumwa na itafika karibuni.,sw,0
在您的 Netflix 账户上检测到可疑活动。确认身份：am@z0n-verify.ru,zh,1
Ваш аккаунт Bank взломан. Переустановите пароль: short.link/secure,ru,1
Welcome to Netflix! Thank you for signing up with us.,en,0
Haraka: Thibitisha akaunti yako ya Amazon. Bofya hapa: short.link/secure,sw,1
Akaunti yako ya Google imehacked. Sasisha neno lako: tinyurl.com/confirm,sw,1
Спасибо за обращение в службу поддержки Google.,ru,0
感谢您使用 Apple。以下是您的账户详情。,zh,0
Спасибо за обращение в службу поддержки PayPal.,ru,0
Ваш аккаунт Google взломан. Переустановите пароль: payp@l-confirm.tk,ru,1
这是您的 Amazon June 月账单信息。,zh,0
"Hello, here is your Netflix monthly invoice for January.",en,0
Here is your Apple billing information for May.,en,0
Karibu Google! Asante kwa kusajili.,sw,0
Hongera! Umeshinda zawadi kutoka Apple. Lipia hapa: am@z0n-verify.ru,sw,1
Your order from Netflix has been shipped and will arrive soon.,en,0
警告：除非您验证，否则您的 Netflix 账户将被暂停：payp@l-confirm.tk,zh,1
"Dear valued customer, please confirm your Microsoft login credentials: tinyurl.com/confirm",en,1
Suspicious activity detected on your Microsoft account. Confirm identity: payp@l-confirm.tk,en,1
警告：除非您验证，否则您的 PayPal 账户将被暂停：tinyurl.com/confirm,zh,1
我们感谢您与 Microsoft 的业务。请查看下方收据。,zh,0
需要操作：为您的 Amazon 账户更新付款方式：short.link/secure,zh,1
Поздравляем! Вы выиграли приз от Netflix. Получите: goo.gl/check,ru,1
您的 Apple 密码已过期。立即更新：am@z0n-verify.ru,zh,1
Thank you for contacting Bank support team.,en,0
Спасибо за обращение в службу поддержки Netflix.,ru,0
Hii ni taarifa ya kukodi kwa Bank kwa March.,sw,0
Срочно: Подтвердите свой аккаунт PayPal. Кликните здесь: goo.gl/check,ru,1
"Dear valued customer, please confirm your Microsoft login credentials: bit.ly/verify2024",en,1
Welcome to Amazon! Thank you for signing up with us.,en,0
"Здравствуйте, вот ваш счет от Microsoft за April.",ru,0
Обнаружена подозрительная активность на вашем аккаунте PayPal: am@z0n-verify.ru,ru,1
你好，这是您从 Apple 的 January 月度发票。,zh,0
Akaunti yako ya Bank imehacked. Sasisha neno lako: short.link/secure,sw,1
你好，这是您从 Apple 的 February 月度发票。,zh,0
Welcome to PayPal! Thank you for signing up with us.,en,0
Ваш заказ от Microsoft отправлен и скоро будет доставлен.,ru,0
欢迎来到 Apple！感谢您的注册。,zh,0
Haraka: Thibitisha akaunti yako ya Amazon. Bofya hapa: tinyurl.com/confirm,sw,1
你好，这是您从 Netflix 的 January 月度发票。,zh,0
Добро пожаловать в Netflix! Спасибо за регистрацию.,ru,0
Your Microsoft account has been compromised. Reset password here: short.link/secure,en,1
Спасибо за обращение в службу поддержки Microsoft.,ru,0
Suspicious activity detected on your Bank account. Confirm identity: bit.ly/verify2024,en,1
需要操作：为您的 PayPal 账户更新付款方式：goo.gl/check,zh,1
Neno lako la Netflix limepoteza muda wake. Sasisha sasa: goo.gl/check,sw,1
Ваша подписка на Microsoft успешно продлена.,ru,0
恭喜！您从 Microsoft 赢得了奖励。立即领取：bit.ly/verify2024,zh,1
Haraka: Sasisha njia ya malipo kwa akaunti yako ya Bank: bit.ly/verify2024,sw,1
Спасибо за обращение в службу поддержки Bank.,ru,0
"Habari, hii ni invoice yako ya kila mwezi kutoka PayPal kwa April.",sw,0
需要操作：为您的 Netflix 账户更新付款方式：short.link/secure,zh,1
Urgent: Verify your Amazon account immediately. Click here: g00gle-security.tk,en,1
Congratulations! You've won a reward from Apple. Claim it: payp@l-confirm.tk,en,1
"Hello, here is your PayPal monthly invoice for June.",en,0
Ваш заказ от PayPal отправлен и скоро будет доставлен.,ru,0
Welcome to Amazon! Thank you for signing up with us.,en,0
Akaunti yako ya Google imehacked. Sasisha neno lako: bit.ly/verify2024,sw,1
Your Microsoft password has expired. Update it now: goo.gl/check,en,1
Here is your Netflix billing information for April.,en,0
警告：除非您验证，否则您的 PayPal 账户将被暂停：tinyurl.com/confirm,zh,1
"Пожалуйста, подтвердите ваши учетные данные Google: am@z0n-verify.ru",ru,1
ONYO: Akaunti yako ya PayPal itasimama isipokuwa uthibitishe: tinyurl.com/confirm,sw,1
Urgent: Verify your PayPal account immediately. Click here: am@z0n-verify.ru,en,1
Tunakubaliana na biashara yako na Amazon. Angalia kuitisha chini.,sw,0
Urgent: Verify your Microsoft account immediately. Click here: am@z0n-verify.ru,en,1
"Dear valued customer, please confirm your Microsoft login credentials: tinyurl.com/confirm",en,1
Akaunti yako ya Apple imehacked. Sasisha neno lako: short.link/secure,sw,1
Your Microsoft password has expired. Update it now: tinyurl.com/confirm,en,1
Мы ценим вашу деятельность с Netflix. См. квитанцию ниже.,ru,0
ПРЕДУПРЕЖДЕНИЕ: Ваш аккаунт Netflix будет заблокирован: payp@l-confirm.tk,ru,1
Ваш заказ от Netflix отправлен и скоро будет доставлен.,ru,0
Asante kwa kutumia Google. Hapa kuna maelezo ya akaunti yako.,sw,0
Akaunti yako ya PayPal imehacked. Sasisha neno lako: payp@l-confirm.tk,sw,1
恭喜！您从 PayPal 赢得了奖励。立即领取：tinyurl.com/confirm,zh,1
Спасибо за обращение в службу поддержки Microsoft.,ru,0
Ваша подписка на Amazon успешно продлена.,ru,0
"Dear valued customer, please confirm your Amazon login credentials: am@z0n-verify.ru",en,1
我们感谢您与 Microsoft 的业务。请查看下方收据。,zh,0
Amri yako kutoka PayPal imetumwa na itafika karibuni.,sw,0
Your Google password has expired. Update it now: g00gle-security.tk,en,1
ONYO: Akaunti yako ya Apple itasimama isipokuwa uthibitishe: g00gle-security.tk,sw,1
Akaunti yako ya PayPal imehacked. Sasisha neno lako: bit.ly/verify2024,sw,1
Ваш пароль Microsoft истек. Обновите сейчас: goo.gl/check,ru,1
Обнаружена подозрительная активность на вашем аккаунте Google: payp@l-confirm.tk,ru,1
Usajili wako wa Bank umeboreshwa kwa mafanikio.,sw,0
这是您的 Amazon April 月账单信息。,zh,0
Asante kwa kuwasiliana na timu ya Bank.,sw,0
Asante kwa kutumia Netflix. Hapa kuna maelezo ya akaunti yako.,sw,0
Action required: Update payment method for your Apple account: tinyurl.com/confirm,en,1
"Здравствуйте, вот ваш счет от Netflix за June.",ru,0
Haraka: Thibitisha akaunti yako ya Apple. Bofya hapa: am@z0n-verify.ru,sw,1
需要操作：为您的 Apple 账户更新付款方式：payp@l-confirm.tk,zh,1
Urgent: Verify your Netflix account immediately. Click here: g00gle-security.tk,en,1
Your order from Bank has been shipped and will arrive soon.,en,0
您的 Amazon 账户已被入侵。在此重置密码：tinyurl.com/confirm,zh,1
Urgent: Verify your Netflix account immediately. Click here: short.link/secure,en,1
Срочно: Обновите способ оплаты для Amazon: goo.gl/check,ru,1
警告：除非您验证，否则您的 Google 账户将被暂停：goo.gl/check,zh,1
Ваш аккаунт Apple взломан. Переустановите пароль: goo.gl/check,ru,1
"Hello, here is your Apple monthly invoice for February.",en,0
Akaunti yako ya Apple imehacked. Sasisha neno lako: payp@l-confirm.tk,sw,1
Welcome to Google! Thank you for signing up with us.,en,0
感谢您联系 Netflix 支持团队。,zh,0
ONYO: Akaunti yako ya Microsoft itasimama isipokuwa uthibitishe: bit.ly/verify2024,sw,1
Asante kwa kutumia PayPal. Hapa kuna maelezo ya akaunti yako.,sw,0
"Hello, here is your Google monthly invoice for March.",en,0
"Здравствуйте, вот ваш счет от Apple за May.",ru,0
Ваша подписка на Netflix успешно продлена.,ru,0
Ваш пароль Amazon истек. Обновите сейчас: bit.ly/verify2024,ru,1
紧急：验证您的 Microsoft 账户。点击此处：am@z0n-verify.ru,zh,1
Amri yako kutoka Amazon imetumwa na itafika karibuni.,sw,0
Shughuli isiyo ya kawaida imegundulika kwenye akaunti yako ya Google: payp@l-confirm.tk,sw,1
"Habari, hii ni invoice yako ya kila mwezi kutoka Apple kwa February.",sw,0
Ваш заказ от Google отправлен и скоро будет доставлен.,ru,0
Tunakubaliana na biashara yako na PayPal. Angalia kuitisha chini.,sw,0
Congratulations! You've won a reward from Amazon. Claim it: goo.gl/check,en,1
We appreciate your business with Bank. See your receipt below.,en,0
恭喜！您从 Amazon 赢得了奖励。立即领取：tinyurl.com/confirm,zh,1
Asante kwa kutumia Google. Hapa kuna maelezo ya akaunti yako.,sw,0
Asante kwa kuwasiliana na timu ya Google.,sw,0
Amri yako kutoka Microsoft imetumwa na itafika karibuni.,sw,0
Поздравляем! Вы выиграли приз от Microsoft. Получите: bit.ly/verify2024,ru,1
Ваш заказ от Bank отправлен и скоро будет доставлен.,ru,0
Haraka: Thibitisha akaunti yako ya Google. Bofya hapa: payp@l-confirm.tk,sw,1
您的 Bank 密码已过期。立即更新：g00gle-security.tk,zh,1
Ваш заказ от Netflix отправлен и скоро будет доставлен.,ru,0
您的 Bank 账户已被入侵。在此重置密码：am@z0n-verify.ru,zh,1
在您的 Apple 账户上检测到可疑活动。确认身份：short.link/secure,zh,1
您的 Google 账户已被入侵。在此重置密码：short.link/secure,zh,1
您的 Microsoft 账户已被入侵。在此重置密码：tinyurl.com/confirm,zh,1
感谢您使用 Microsoft。以下是您的账户详情。,zh,0
"Habari, hii ni invoice yako ya kila mwezi kutoka Apple kwa April.",sw,0
Tunakubaliana na biashara yako na Google. Angalia kuitisha chini.,sw,0
Thank you for contacting Bank support team.,en,0
Akaunti yako ya Google imehacked. Sasisha neno lako: bit.ly/verify2024,sw,1
欢迎来到 Amazon！感谢您的注册。,zh,0
Welcome to Amazon! Thank you for signing up with us.,en,0
Urgent: Verify your PayPal account immediately. Click here: payp@l-confirm.tk,en,1
"Hello, here is your Apple monthly invoice for March.",en,0
ONYO: Akaunti yako ya Netflix itasimama isipokuwa uthibitishe: goo.gl/check,sw,1
感谢您使用 Amazon。以下是您的账户详情。,zh,0
Обнаружена подозрительная активность на вашем аккаунте Amazon: am@z0n-verify.ru,ru,1
警告：除非您验证，否则您的 Apple 账户将被暂停：bit.ly/verify2024,zh,1
Akaunti yako ya PayPal imehacked. Sasisha neno lako: goo.gl/check,sw,1
Hii ni taarifa ya kukodi kwa Microsoft kwa February.,sw,0
我们感谢您与 Amazon 的业务。请查看下方收据。,zh,0
We appreciate your business with Apple. See your receipt below.,en,0
您从 PayPal 的订单已发货，即将送达。,zh,0
ONYO: Akaunti yako ya Netflix itasimama isipokuwa uthibitishe: am@z0n-verify.ru,sw,1
感谢您联系 Microsoft 支持团队。,zh,0
这是您的 PayPal April 月账单信息。,zh,0
Your PayPal password has expired. Update it now: payp@l-confirm.tk,en,1
Neno lako la Amazon limepoteza muda wake. Sasisha sasa: tinyurl.com/confirm,sw,1
这是您的 Bank March 月账单信息。,zh,0
需要操作：为您的 Microsoft 账户更新付款方式：goo.gl/check,zh,1
Обнаружена подозрительная активность на вашем аккаунте Amazon: short.link/secure,ru,1
您的 Apple 密码已过期。立即更新：goo.gl/check,zh,1
Hii ni taarifa ya kukodi kwa Microsoft kwa May.,sw,0
Tunakubaliana na biashara yako na Amazon. Angalia kuitisha chini.,sw,0
Your order from Apple has been shipped and will arrive soon.,en,0
We appreciate your business with Apple. See your receipt below.,en,0
"Habari, hii ni invoice yako ya kila mwezi kutoka Microsoft kwa January.",sw,0
"Habari, hii ni invoice yako ya kila mwezi kutoka Microsoft kwa June.",sw,0
您的 Netflix 账户已被入侵。在此重置密码：payp@l-confirm.tk,zh,1
Спасибо за использование Microsoft. Вот ваши реквизиты учетной записи.,ru,0
Urgent: Verify your Bank account immediately. Click here: payp@l-confirm.tk,en,1
Ваш заказ от Bank отправлен и скоро будет доставлен.,ru,0
Thank you for contacting Bank support team.,en,0
Haraka: Sasisha njia ya malipo kwa akaunti yako ya Apple: am@z0n-verify.ru,sw,1
"Здравствуйте, вот ваш счет от Apple за April.",ru,0
Your Microsoft account has been compromised. Reset password here: tinyurl.com/confirm,en,1
ONYO: Akaunti yako ya PayPal itasimama isipokuwa uthibitishe: g00gle-security.tk,sw,1
We appreciate your business with Apple. See your receipt below.,en,0
Akaunti yako ya Google imehacked. Sasisha neno lako: goo.gl/check,sw,1
Karibu Bank! Asante kwa kusajili.,sw,0
Tafadhali thibitisha akaunti yako ya Bank: tinyurl.com/confirm,sw,1
Thank you for using PayPal. Here are your account details.,en,0
Amri yako kutoka Bank imetumwa na itafika karibuni.,sw,0
尊敬的客户，请确认您的 Apple 登录凭据：am@z0n-verify.ru,zh,1
Your order from Bank has been shipped and will arrive soon.,en,0
Tunakubaliana na biashara yako na Google. Angalia kuitisha chini.,sw,0
Welcome to Apple! Thank you for signing up with us.,en,0
Your Microsoft password has expired. Update it now: payp@l-confirm.tk,en,1
ПРЕДУПРЕЖДЕНИЕ: Ваш аккаунт Netflix будет заблокирован: am@z0n-verify.ru,ru,1
We appreciate your business with PayPal. See your receipt below.,en,0
Tunakubaliana na biashara yako na PayPal. Angalia kuitisha chini.,sw,0
Ваш аккаунт Apple взломан. Переустановите пароль: tinyurl.com/confirm,ru,1
Thank you for contacting Apple support team.,en,0
您的 PayPal 订阅已成功续订。,zh,0
Here is your Netflix billing information for February.,en,0
Thank you for contacting PayPal support team.,en,0
Urgent: Verify your Microsoft account immediately. Click here: tinyurl.com/confirm,en,1
这是您的 Microsoft February 月账单信息。,zh,0
Asante kwa kutumia Google. Hapa kuna maelezo ya akaunti yako.,sw,0
Congratulations! You've won a reward from Bank. Claim it: payp@l-confirm.tk,en,1
Вот ваша информация об абонентской плате Microsoft за May.,ru,0
Поздравляем! Вы выиграли приз от Google. Получите: g00gle-security.tk,ru,1
Your PayPal subscription has been renewed successfully.,en,0
We appreciate your business with Microsoft. See your receipt below.,en,0
"Пожалуйста, подтвердите ваши учетные данные Bank: bit.ly/verify2024",ru,1
Thank you for contacting Apple support team.,en,0
Thank you for contacting Google support team.,en,0
Добро пожаловать в Netflix! Спасибо за регистрацию.,ru,0
需要操作：为您的 Netflix 账户更新付款方式：tinyurl.com/confirm,zh,1
Thank you for using Bank. Here are your account details.,en,0
"Здравствуйте, вот ваш счет от Amazon за May.",ru,0
Ваш пароль Amazon истек. Обновите сейчас: bit.ly/verify2024,ru,1
Your order from Google has been shipped and will arrive soon.,en,0
WARNING: Your Bank account will be suspended unless you verify: am@z0n-verify.ru,en,1
感谢您联系 Apple 支持团队。,zh,0
Urgent: Verify your Bank account immediately. Click here: short.link/secure,en,1
需要操作：为您的 Bank 账户更新付款方式：am@z0n-verify.ru,zh,1
WARNING: Your Microsoft account will be suspended unless you verify: g00gle-security.tk,en,1
Asante kwa kutumia Microsoft. Hapa kuna maelezo ya akaunti yako.,sw,0
Hii ni taarifa ya kukodi kwa PayPal kwa June.,sw,0
Обнаружена подозрительная активность на вашем аккаунте Google: am@z0n-verify.ru,ru,1
Спасибо за использование Microsoft. Вот ваши реквизиты учетной записи.,ru,0
Your Bank account has been compromised. Reset password here: g00gle-security.tk,en,1
Amri yako kutoka Apple imetumwa na itafika karibuni.,sw,0
